starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:55 2021	1635261595	4	1280	1284	1278
Tue Oct 26 20:49:53 2021	1635261593	0	1287	1287	1205
Tue Oct 26 20:49:55 2021	1635261595	0	1287	1287	1011
Tue Oct 26 20:49:56 2021	1635261596	0	1288	1288	1249
Tue Oct 26 20:49:58 2021	1635261598	0	1288	1289	744
Tue Oct 26 20:49:51 2021	1635261591	0	1289	1289	1288
Tue Oct 26 20:49:50 2021	1635261590	6	1284	1290	1284
Tue Oct 26 20:50:00 2021	1635261600	0	1290	1290	863
Tue Oct 26 20:49:54 2021	1635261594	0	1290	1290	1241
Tue Oct 26 20:50:04 2021	1635261604	0	1291	1291	1290
Tue Oct 26 20:50:00 2021	1635261600	0	1295	1295	1246
Tue Oct 26 20:49:54 2021	1635261594	0	1296	1297	1234
Tue Oct 26 20:49:50 2021	1635261590	4	1293	1297	1291
Tue Oct 26 20:50:01 2021	1635261601	0	1297	1297	1240
Tue Oct 26 20:49:58 2021	1635261598	0	1299	1299	1298
Tue Oct 26 20:50:04 2021	1635261604	0	1299	1299	1297
Tue Oct 26 20:50:00 2021	1635261600	0	1300	1300	1300
Tue Oct 26 20:50:03 2021	1635261603	0	1302	1302	1301
Tue Oct 26 20:50:01 2021	1635261601	0	1305	1305	1282
Tue Oct 26 20:50:00 2021	1635261600	0	1306	1306	1305
Tue Oct 26 20:49:54 2021	1635261594	1	1310	1311	1271
Tue Oct 26 20:50:00 2021	1635261600	0	1314	1314	1313
Tue Oct 26 20:49:58 2021	1635261598	0	1315	1315	1293
Tue Oct 26 20:50:02 2021	1635261602	0	1317	1317	868
Tue Oct 26 20:49:58 2021	1635261598	4	1314	1318	761
Tue Oct 26 20:49:50 2021	1635261590	0	1318	1318	1317
Tue Oct 26 20:49:51 2021	1635261591	0	1318	1318	1312
Tue Oct 26 20:49:52 2021	1635261592	0	1321	1322	1135
Tue Oct 26 20:49:53 2021	1635261593	0	1324	1324	1070
Tue Oct 26 20:50:03 2021	1635261603	0	1323	1324	1323
Tue Oct 26 20:49:56 2021	1635261596	0	1324	1325	1187
Tue Oct 26 20:50:03 2021	1635261603	0	1325	1325	1324
Tue Oct 26 20:49:58 2021	1635261598	0	1325	1325	1145
Tue Oct 26 20:50:01 2021	1635261601	0	1325	1326	1034
Tue Oct 26 20:50:02 2021	1635261602	0	1326	1327	1325
Tue Oct 26 20:49:55 2021	1635261595	0	1330	1330	1329
Tue Oct 26 20:49:56 2021	1635261596	0	1331	1331	1236
Tue Oct 26 20:49:50 2021	1635261590	0	1332	1332	1167
Tue Oct 26 20:49:53 2021	1635261593	0	1333	1333	1332
Tue Oct 26 20:49:51 2021	1635261591	0	1335	1335	1334
Tue Oct 26 20:49:51 2021	1635261591	0	1336	1336	513
Tue Oct 26 20:49:53 2021	1635261593	0	1338	1338	1337
Tue Oct 26 20:50:02 2021	1635261602	0	1338	1339	1338
Tue Oct 26 20:49:56 2021	1635261596	0	1341	1341	1283
Tue Oct 26 20:49:52 2021	1635261592	0	1341	1341	935
Tue Oct 26 20:49:54 2021	1635261594	0	1343	1343	1205
Tue Oct 26 20:50:00 2021	1635261600	0	1344	1344	1287
Tue Oct 26 20:49:56 2021	1635261596	0	1344	1344	1343
Tue Oct 26 20:49:51 2021	1635261591	0	1344	1344	1326
Tue Oct 26 20:50:01 2021	1635261601	0	1346	1346	1293
Tue Oct 26 20:50:03 2021	1635261603	0	1347	1347	839
Tue Oct 26 20:49:50 2021	1635261590	2	1352	1353	1350
Tue Oct 26 20:49:56 2021	1635261596	0	1354	1354	1297
Tue Oct 26 20:50:02 2021	1635261602	0	1354	1354	1316
Tue Oct 26 20:49:51 2021	1635261591	0	1358	1358	1357
Tue Oct 26 20:49:53 2021	1635261593	0	1359	1359	1358
Tue Oct 26 20:50:01 2021	1635261601	0	1360	1360	1349
Tue Oct 26 20:50:00 2021	1635261600	0	1360	1360	1360
Tue Oct 26 20:49:58 2021	1635261598	0	1361	1361	981
Tue Oct 26 20:49:54 2021	1635261594	1	1365	1367	1365
Tue Oct 26 20:50:00 2021	1635261600	0	1367	1367	1366
Tue Oct 26 20:49:54 2021	1635261594	5	1363	1368	1315
Tue Oct 26 20:50:02 2021	1635261602	0	1369	1369	1306
